#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 674000      1.14e+01      2.66e-02      1.13e-01      1.33e-01    1.0e-04
 676000      2.00e+01      4.61e-02      1.98e-01      2.72e-01    9.9e-05
 678000      9.78e+00      3.16e-02      9.74e-02      7.41e-02    9.8e-05
 680000      1.27e+01      1.29e-01      1.27e-01      6.86e-02    9.8e-05
 682000      1.00e+01      4.96e-02      1.00e-01      4.01e-02    9.7e-05
 684000      1.01e+01      2.08e-02      1.01e-01      6.30e-02    9.6e-05
 686000      1.65e+01      9.20e-02      1.61e-01      1.89e-01    9.6e-05
 688000      1.49e+01      1.16e-01      1.44e-01      3.11e-01    9.5e-05
 690000      1.28e+01      4.98e-03      1.27e-01      8.71e-02    9.4e-05
 692000      2.98e+01      8.86e-03      2.97e-01      1.56e-01    9.4e-05
 694000      1.73e+01      4.97e-03      1.72e-01      1.15e-01    9.3e-05
 696000      8.13e+00      9.33e-03      7.99e-02      8.34e-02    9.3e-05
 698000      1.24e+01      8.14e-03      1.22e-01      1.19e-01    9.2e-05
 700000      1.23e+01      3.01e-02      1.22e-01      7.47e-02    9.1e-05
 702000      1.42e+01      4.12e-02      1.42e-01      4.84e-02    9.1e-05
